운용사,성명,총 운용경력,현회사 운용경력,펀드수,"설정원본
(백만원)",,,,
아이엠에셋자산운용,박대업,4년0개월,4년0개월,8,144914,,,,
아이엠에셋자산운용,박정근,11년3개월,3년4개월,1,31387,,,,
아이엠에셋자산운용,서진희,2년11개월,2년11개월,8,144914,,,,
아이엠에셋자산운용,신재석,0년11개월,0년11개월,1,31387,,,,
아이엠에셋자산운용,신정섭,6년3개월,3년1개월,1,61262,,,,
아이엠에셋자산운용,오찬수,2년3개월,2년3개월,4,67823,,,,
아이엠에셋자산운용,홍정의,3년0개월,3년0개월,4,67823,,,,
아이엠에셋자산운용,황지혜,0년1개월,0년1개월,24,243388,,,,
알파자산운용,서준영,0년1개월,0년1개월,3,40558,,,,
알파자산운용,안병주,2년0개월,0년5개월,3,40558,192,,,
얼라이언스번스틴(Alianz Bernstein)자산운용,유재흥,17년0개월,13년7개월,13,2047351,,,,
얼라이언스번스틴(Alianz Bernstein)자산운용,이재욱,2년9개월,2년9개월,13,2047351,,,,
에셋플러스자산운용,강자인,7년7개월,7년7개월,17,366840,,,,
에셋플러스자산운용,고태훈,8년3개월,8년3개월,20,499435,,,,
에셋플러스자산운용,윤소영,0년3개월,0년3개월,2,50628,,,,
에셋플러스자산운용,이민규,0년1개월,0년1개월,6,149789,,,,
에셋플러스자산운용,이승우,10년7개월,8년4개월,14,848897,,,,
에셋플러스자산운용,정석훈,17년1개월,17년1개월,6,648480,,,,
에셋플러스자산운용,진준서,6년4개월,6년4개월,16,852800,,,,
에셋플러스자산운용,최대영,3년6개월,3년6개월,6,648480,,,,
에이치디씨(HDC)자산운용,여다혜,0년5개월,0년5개월,1,3359,,,,
에이치디씨(HDC)자산운용,연제호,0년4개월,0년4개월,1,641,,,,
에이치디씨(HDC)자산운용,유동옥,7년3개월,1년0개월,5,50319,,,,
에이치디씨(HDC)자산운용,장승성,3년5개월,3년5개월,6,70953,,,,
에이치디씨(HDC)자산운용,정동욱,10년10개월,4년1개월,6,43740,,,,
에이치디씨(HDC)자산운용,최우성,3년11개월,3년11개월,4,19748,,,,
에이치디씨(HDC)자산운용,허정기,15년6개월,3년1개월,9,135172,,,,
엔에이치아문디(NH-Amundi)자산운용,고건희,2년8개월,1년6개월,12,224344,,,,
엔에이치아문디(NH-Amundi)자산운용,권영훈,14년6개월,5년5개월,5,184353,,,,
엔에이치아문디(NH-Amundi)자산운용,김건형,2년0개월,2년0개월,1,21372,,,,
엔에이치아문디(NH-Amundi)자산운용,김석환,15년11개월,3년7개월,19,742350,,,,
엔에이치아문디(NH-Amundi)자산운용,김정훈,2년2개월,2년2개월,2,1352,,,,
엔에이치아문디(NH-Amundi)자산운용,김주용,3년7개월,2년1개월,1,34721,,,,
엔에이치아문디(NH-Amundi)자산운용,김주인,16년11개월,16년11개월,7,851720,,,,
엔에이치아문디(NH-Amundi)자산운용,김지연,3년11개월,3년10개월,18,895820,,,,
엔에이치아문디(NH-Amundi)자산운용,김태희,5년5개월,5년5개월,8,1036453,,,,
엔에이치아문디(NH-Amundi)자산운용,노진수,11년9개월,7년10개월,2,8506,,,,
엔에이치아문디(NH-Amundi)자산운용,박상현,3년3개월,3년3개월,1,574262,,,,
엔에이치아문디(NH-Amundi)자산운용,박진호,19년3개월,10년4개월,7,242460,,,,
엔에이치아문디(NH-Amundi)자산운용,송지연,8년10개월,1년5개월,4,7967275,,,,
엔에이치아문디(NH-Amundi)자산운용,신범주,3년7개월,2년0개월,4,208012,,,,
엔에이치아문디(NH-Amundi)자산운용,안인진,3년0개월,3년0개월,21,304325,,,,
엔에이치아문디(NH-Amundi)자산운용,안형준,5년1개월,5년1개월,7,379796,,,,
엔에이치아문디(NH-Amundi)자산운용,여현태,0년9개월,0년9개월,3,17564,,,,
엔에이치아문디(NH-Amundi)자산운용,이능규,3년2개월,2년3개월,12,103001,,,,
엔에이치아문디(NH-Amundi)자산운용,이도규,8년10개월,8년10개월,7,37350,0+B409:B438,,,
엔에이치아문디(NH-Amundi)자산운용,이원석,1년9개월,0년8개월,5,184353,,,,
엔에이치아문디(NH-Amundi)자산운용,이창훈,3년2개월,3년2개월,2,7306,,,,
엔에이치아문디(NH-Amundi)자산운용,이학승,6년0개월,4년8개월,5,336497,,,,
엔에이치아문디(NH-Amundi)자산운용,정승호,11년7개월,3년3개월,14,62196,,,,
엔에이치아문디(NH-Amundi)자산운용,정현욱,14년3개월,9년9개월,9,74428,,,,
엔에이치아문디(NH-Amundi)자산운용,정희석,14년4개월,11년5개월,7,387672,,,,
엔에이치아문디(NH-Amundi)자산운용,차영상,4년6개월,2년2개월,3,244818,,,,
엔에이치아문디(NH-Amundi)자산운용,최동근,4년3개월,2년1개월,23,939329,,,,
엔에이치아문디(NH-Amundi)자산운용,최치현,0년6개월,0년6개월,6,179774,,,,
엔에이치아문디(NH-Amundi)자산운용,최홍근,6년1개월,6년1개월,3,3507328,,,,
엔에이치아문디(NH-Amundi)자산운용,홍승관,0년4개월,0년4개월,1,403233,,,,
우리자산운용,김기범,4년4개월,2년11개월,17,376167,,,,
우리자산운용,김동환,12년6개월,12년6개월,2,4508886,,,,
우리자산운용,김재범,5년7개월,5년7개월,12,118456,,,,
우리자산운용,김종안,7년4개월,4년0개월,1,58958,,,,
우리자산운용,김준형,1년6개월,1년6개월,1,10783,,,,
우리자산운용,남승균,2년1개월,2년1개월,8,230370,,,,
우리자산운용,노기호,12년1개월,6년9개월,21,212203,,,,
우리자산운용,문혜민,2년0개월,2년0개월,21,149227,,,,
우리자산운용,박상하,3년5개월,3년5개월,14,164979,,,,
우리자산운용,박성진,5년1개월,5년1개월,7,108527,,,,
우리자산운용,박진희,0년5개월,0년5개월,4,30040,,,,
우리자산운용,박찬곤,4년6개월,1년9개월,6,13613450,,,,
우리자산운용,배세융,2년6개월,0년9개월,7,229054,,,,
우리자산운용,서보민,11년3개월,4년5개월,21,3385398,,,,
우리자산운용,서우석,11년11개월,3년7개월,12,68456,,,,
우리자산운용,오수민,1년6개월,1년6개월,13,64648,,,,
우리자산운용,우준식,9년3개월,9년3개월,10,136394,,,,
우리자산운용,윤여준,3년2개월,3년2개월,39,438953,,,,
우리자산운용,이상민,13년0개월,5년0개월,7,40112,,,,
우리자산운용,이호석,4년6개월,4년6개월,8,60698,,,,
우리자산운용,이희재,0년10개월,0년10개월,8,230370,,,,
우리자산운용,임성한,3년4개월,0년7개월,8,4069827,,,,
우리자산운용,정지윤,1년4개월,1년0개월,16,135521,,,,
우리자산운용,최영철,15년1개월,15년1개월,8,113101,,,,
우리자산운용,최홍석,1년6개월,1년6개월,16,360581,,,,
우리자산운용,홍성수,2년4개월,2년4개월,10,87085,,,,
우리자산운용,황우성,6년1개월,6년1개월,28,2991418,,,,
웰컴자산운용,김덕기,4년8개월,1년9개월,3,40737,,,,
웰컴자산운용,박승민,3년4개월,3년4개월,7,196132,,,,
웰컴자산운용,윤효성,2년3개월,2년3개월,8,226910,,,,
웰컴자산운용,이강국,11년8개월,2년1개월,3,51947,,,,
웰컴자산운용,정호,4년3개월,4년3개월,5,117264,,,,
웰컴자산운용,조일식,14년4개월,2년7개월,7,130808,,,,
웰컴자산운용,허숭구,3년7개월,0년2개월,9,468619,,,,
유경피에스지자산운용,김승현,0년1개월,0년1개월,1,12789,,,,
유경피에스지자산운용,김홍범,4년8개월,4년4개월,2,28624,,,,
유경피에스지자산운용,박병기,0년5개월,0년5개월,1,105999,,,,
유경피에스지자산운용,박정혁,9년11개월,2년4개월,3,36203,,,,
유리자산운용,김기둥,5년8개월,5년8개월,4,16913,,,,
유리자산운용,김정준,1년5개월,1년2개월,1,177378,,,,
유리자산운용,김창연,1년2개월,1년2개월,6,98609,,,,
유리자산운용,노승진,4년0개월,4년0개월,7,162760,,,,
유리자산운용,박주호,24년5개월,24년5개월,14,55721,,,,
유리자산운용,안재정,6년7개월,6년7개월,6,519423,,,,
유리자산운용,이준형,4년0개월,1년10개월,2,108080,,,,
유리자산운용,최재영,17년10개월,16년1개월,8,24476,,,,
유리자산운용,추연식,9년10개월,1년11개월,4,20768,,,,
유리자산운용,한진규,24년5개월,24년5개월,5,342045,,,,
유진자산운용,SHON DONG WHAN,3년8개월,3년8개월,2,10429,,,,
유진자산운용,김지민,6년7개월,5년10개월,9,70493,,,,
유진자산운용,박성진,3년8개월,3년8개월,6,3074389,,,,
유진자산운용,손주섭,1년4개월,1년4개월,1,400,,,,
유진자산운용,이정민,5년0개월,3년11개월,2,42821,,,,
유진자산운용,장현구,0년3개월,0년3개월,4,80602,,,,
유진자산운용,정재환,6년3개월,4년2개월,4,2988914,,,,
유진자산운용,조영환,0년0개월,0년0개월,5,21713,,,,
유진자산운용,최성진,3년4개월,2년1개월,6,3147176,,,,
유진자산운용,하석근,4년2개월,1년3개월,7,48943,,,,
이지스자산운용,강희선,5년2개월,5년2개월,1,13650,,,,
이지스자산운용,김주일,3년1개월,3년1개월,1,230574,,,,
이지스자산운용,김지현,1년2개월,1년2개월,1,20837,,,,
이지스자산운용,김지희,1년7개월,1년7개월,1,61536,,,,
이지스자산운용,남형록,6년9개월,6년9개월,1,187530,,,,
이지스자산운용,노선호,3년0개월,3년0개월,1,187530,,,,
이지스자산운용,신민재,5년5개월,5년5개월,3,473689,,,,
이지스자산운용,신소현,5년5개월,5년5개월,2,243115,,,,
이지스자산운용,이건희,5년7개월,5년2개월,1,13650,,,,
이지스자산운용,이규성,5년5개월,5년5개월,1,55585,,,,
이지스자산운용,이원석,2년1개월,2년1개월,1,230574,,,,
이지스자산운용,이진우,2년9개월,2년9개월,1,17000,,,,
이지스자산운용,이형철,2년2개월,2년2개월,1,61536,,,,
이지스자산운용,임주우,5년7개월,5년7개월,1,21670,,,,
이지스자산운용,정조민,1년2개월,1년2개월,1,20837,,,,
카디안자산운용,강민정,1년2개월,1년2개월,1,62409,,,,
카디안자산운용,고은,6년4개월,6년4개월,2,8610,,,,
카디안자산운용,문성빈,14년8개월,13년6개월,1,1963,,,,
카디안자산운용,박소영,11년3개월,11년3개월,2,4794,,,,
카디안자산운용,방대진,18년6개월,14년9개월,35,231156,,,,
카디안자산운용,변준,11년1개월,3년11개월,14,651632,,,,
카디안자산운용,오세인,6년4개월,6년4개월,1,62409,,,,
카디안자산운용,유민중,2년10개월,2년10개월,2,4039,,,,
카디안자산운용,이한별,2년1개월,2년1개월,1,253177,,,,
카디안자산운용,이휘서,1년2개월,1년2개월,1,9481,,,,
카디안자산운용,임창훈,4년3개월,4년3개월,6,116206,,,,
카디안자산운용,정세은,3년7개월,3년7개월,15,904808,,,,
카디안자산운용,조은서,5년11개월,5년11개월,24,38320,,,,
카디안자산운용,최용,7년10개월,6년6개월,6,116206,,,,
카디안자산운용,허해인,3년3개월,3년3개월,2,4039,,,,
카디안자산운용,황윤희,12년9개월,12년9개월,2,18855,,,,
칸서스자산운용,고재호,7년11개월,6년8개월,3,38185,,,,
칸서스자산운용,고호진,5년0개월,2년3개월,1,33450,,,,
칸서스자산운용,김도연,1년4개월,1년4개월,1,15337,,,,
칸서스자산운용,김명선,5년3개월,5년3개월,1,628,,,,
칸서스자산운용,양경수,2년8개월,1년9개월,2,48787,,,,
KB자산운용,강신영,6년9개월,3년10개월,19,2116606,,,,
KB자산운용,강은표,7년11개월,7년11개월,13,1420040,,,,
KB자산운용,강재구,2년6개월,2년6개월,12,242693,,,,
KB자산운용,구동현,0년7개월,0년7개월,1,14809,,,,
KB자산운용,김강일,8년9개월,7년8개월,21,1341494,,,,
KB자산운용,김경진,14년6개월,14년6개월,4,93160,,,,
KB자산운용,김고은,2년11개월,1년5개월,9,216448,,,,
KB자산운용,김대영,18년1개월,14년7개월,7,608780,,,,
KB자산운용,김동환,5년8개월,1년7개월,41,4124933,,,,
KB자산운용,김동희,5년8개월,5년8개월,2,6736,,,,
KB자산운용,김병걸,2년11개월,0년7개월,1,30911,,,,
KB자산운용,김빈나,2년5개월,2년1개월,7,613103,,,,
KB자산운용,김세진,0년4개월,0년4개월,3,13220,,,,
KB자산운용,김세희,9년0개월,7년3개월,4,30778,,,,
KB자산운용,김수혁,18년5개월,11년9개월,7,638697,,,,
KB자산운용,김정아,17년10개월,17년10개월,28,785578,,,,
KB자산운용,김채헌,1년3개월,1년3개월,10,63432,,,,
KB자산운용,김태영,3년0개월,3년0개월,24,8626943,,,,
KB자산운용,김홍곤,11년4개월,3년11개월,2,10977,,,,
KB자산운용,노아름,11년2개월,1년3개월,57,6713873,,,,
KB자산운용,류범준,10년4개월,4년7개월,31,2379953,,,,
KB자산운용,문인규,9년9개월,9년9개월,5,117993,,,,
KB자산운용,박서령,0년9개월,0년9개월,20,565536,,,,
KB자산운용,배호진,1년6개월,0년8개월,17,560431,,,,
KB자산운용,봉철우,3년11개월,3년5개월,13,1366738,,,,
KB자산운용,성낙현,2년4개월,1년6개월,41,9122911,,,,
KB자산운용,손경선,8년11개월,8년11개월,4,264491,,,,
KB자산운용,손하연,1년11개월,0년4개월,8,553517,,,,
KB자산운용,신민재,12년11개월,12년9개월,21,1600974,,,,
KB자산운용,신현우,2년6개월,0년10개월,13,412494,,,,
KB자산운용,심효섭,18년8개월,18년8개월,15,282914,,,,
KB자산운용,안지수,0년4개월,0년4개월,3,13220,,,,
KB자산운용,양은아,6년5개월,6년5개월,3,120312,,,,
KB자산운용,여동현,2년8개월,2년8개월,10,427273,,,,
KB자산운용,연치상,7년11개월,7년11개월,22,491379,,,,
KB자산운용,유병우,6년2개월,6년2개월,25,7026726,,,,
KB자산운용,윤선정,1년1개월,1년1개월,8,56034,,,,
KB자산운용,윤성노,4년2개월,4년2개월,19,753918,,,,
KB자산운용,윤여두,0년1개월,0년1개월,10,378975,,,,
KB자산운용,윤태환,14년3개월,9년11개월,8,140468,,,,
KB자산운용,이건형,2년3개월,1년6개월,4,88131,,,,
KB자산운용,이덕주,5년11개월,5년11개월,20,123791,,,,
KB자산운용,이도진,1년6개월,1년6개월,38,2341279,,,,
KB자산운용,이보은,4년4개월,4년4개월,5,14195531,,,,
KB자산운용,이상엽,3년6개월,2년8개월,8,333969,,,,
KB자산운용,이석호,7년1개월,6년4개월,20,1440161,,,,
KB자산운용,이은정,0년5개월,0년5개월,14,435344,,,,
KB자산운용,이재민,1년0개월,1년0개월,28,785578,,,,
KB자산운용,이종혁,17년9개월,17년9개월,8,986837,,,,
KB자산운용,장여선,3년3개월,2년9개월,14,18278022,,,,
KB자산운용,전연경,0년11개월,0년11개월,38,2367397,,,,
KB자산운용,정상우,9년11개월,9년11개월,36,24089421,,,,
KB자산운용,정원욱,7년0개월,0년3개월,6,267839,,,,
KB자산운용,정찬규,6년6개월,6년6개월,27,1770902,,,,
KB자산운용,조남석,3년8개월,3년1개월,6,29581,,,,
KB자산운용,주형준,15년4개월,8년4개월,37,2383209,,,,
KB자산운용,최용근,3년4개월,3년4개월,8,363950,,,,
KB자산운용,최창규,0년10개월,0년10개월,1,144179,,,,
KB자산운용,한기웅,0년4개월,0년4개월,4,142232,,,,
KB자산운용,허승재,18년8개월,15년10개월,5,232901,,,,
KB자산운용,황상욱,0년3개월,0년3개월,5,117993,,,,
케이씨지아이자산운용,강영수,4년6개월,1년8개월,19,870282,,,,
케이씨지아이자산운용,강예슬,1년9개월,1년9개월,6,826336,,,,
케이씨지아이자산운용,김형석,6년10개월,6년10개월,7,113903,,,,
케이씨지아이자산운용,김홍석,11년0개월,10년4개월,10,1026078,,,,
케이씨지아이자산운용,이가영,1년9개월,1년9개월,7,113903,,,,
케이씨지아이자산운용,홍사욱,11년6개월,0년1개월,12,621280,,,,
코레이트자산운용,박현,2년11개월,0년11개월,3,256586,,,,
코레이트자산운용,유승한,0년2개월,0년2개월,5,273903,,,,
코레이트자산운용,이재헌,14년0개월,7년10개월,8,4301017,,,,
키움투자자산운용,고병모,0년8개월,0년8개월,6,740863,,,,
키움투자자산운용,김민수,3년4개월,1년2개월,17,1622203,,,,
키움투자자산운용,김상미,12년11개월,12년11개월,4,68824,,,,
키움투자자산운용,김선우,7년7개월,7년7개월,7,17820,,,,
키움투자자산운용,김연찬,8년0개월,8년0개월,9,132796,,,,
키움투자자산운용,김용현,1년4개월,1년4개월,8,43144,,,,
키움투자자산운용,김용희,4년8개월,4년8개월,20,146184,,,,
키움투자자산운용,김은영,9년6개월,3년7개월,6,7564571,,,,
키움투자자산운용,김종협,13년7개월,11년8개월,36,947400,,,,
키움투자자산운용,김준영,2년3개월,년개월,1,2762147,,,,
키움투자자산운용,노영준,0년8개월,0년8개월,1,2957199,,,,
키움투자자산운용,박경식,19년2개월,19년2개월,24,2208552,,,,
키움투자자산운용,박세중,18년6개월,10년10개월,2,11514,,,,
키움투자자산운용,손희경,4년4개월,4년4개월,1,2957199,,,,
키움투자자산운용,승현철,4년8개월,4년8개월,13,2175924,,,,
키움투자자산운용,신용준,0년0개월,0년0개월,3,20891,,,,
키움투자자산운용,안형상,18년3개월,18년3개월,2,2449655,,,,
키움투자자산운용,양주경,6년9개월,6년2개월,12,74900,,,,
키움투자자산운용,오동준,5년1개월,0년0개월,1,11153,,,,
키움투자자산운용,오제형,4년3개월,4년3개월,13,44702,,,,
키움투자자산운용,우영길,0년4개월,0년4개월,3,12769,,,,
키움투자자산운용,이규,4년1개월,4년1개월,13,95038,,,,
키움투자자산운용,이길용,0년4개월,0년4개월,2,6235,,,,
키움투자자산운용,이대석,1년8개월,1년8개월,6,41006,,,,
키움투자자산운용,이동훈,5년11개월,5년11개월,5,144059,,,,
키움투자자산운용,이여울,0년4개월,0년4개월,10,10459,,,,
키움투자자산운용,이장원,7년1개월,1년0개월,25,2245694,,,,
키움투자자산운용,이현열,1년5개월,0년0개월,1,31259,,,,
키움투자자산운용,이효건,3년2개월,2년3개월,2,24283,,,,
키움투자자산운용,임관호,3년2개월,2년4개월,22,413709,,,,
키움투자자산운용,임연수,0년9개월,0년4개월,2,63448,,,,
키움투자자산운용,임지영,0년4개월,0년4개월,3,19006,,,,
키움투자자산운용,조바울,1년11개월,1년11개월,2,3660,,,,
키움투자자산운용,최준석,8년7개월,0년7개월,14,64337,,,,
키움투자자산운용,현기숙,0년3개월,0년3개월,10,374181,,,,
타임폴리오자산운용,강현담,5년10개월,5년10개월,2,478082,,,,
타임폴리오자산운용,김남의,8년7개월,4년2개월,16,1892322,,,,
타임폴리오자산운용,김남호,5년11개월,4년2개월,16,1964968,,,,
타임폴리오자산운용,배현주,2년3개월,2년3개월,16,1892322,,,,
타임폴리오자산운용,이정욱,4년2개월,4년2개월,16,1902227,,,,
타임폴리오자산운용,이찬휘,4년8개월,4년8개월,2,478082,,,,
트러스톤자산운용,강우종,5년9개월,5년9개월,5,9948,,,,
트러스톤자산운용,김내혁,2년2개월,2년2개월,8,33986,,,,
트러스톤자산운용,김성현,2년0개월,2년0개월,11,92806,,,,
트러스톤자산운용,송용주,1년4개월,1년4개월,5,9948,,,,
트러스톤자산운용,신홍섭,13년5개월,9년0개월,8,117290,,,,
트러스톤자산운용,안진규,12년4개월,8년3개월,1,47523,,,,
트러스톤자산운용,양진모,12년1개월,9년0개월,4,220853,,,,
트러스톤자산운용,이태하,9년6개월,7년7개월,9,147972,,,,
트러스톤자산운용,전지완,0년6개월,0년6개월,4,11220,,,,
트러스톤자산운용,전춘봉,5년8개월,5년8개월,20,387649,,,,
트러스톤자산운용,정무일,19년7개월,5년1개월,6,105428,,,,
트러스톤자산운용,하현진,1년6개월,1년6개월,12,188882,,,,
트러스톤자산운용,현혜정,4년11개월,4년10개월,3,9297,,,,
플러스자산운용,경우현,14년5개월,9년3개월,6,42245,,,,
플러스자산운용,박지은,2년9개월,2년9개월,4,3936361,,,,
플러스자산운용,이관홍,18년6개월,17년5개월,2,8151,,,,
플러스자산운용,이성훈,1년0개월,1년0개월,4,3275884,,,,
플러스자산운용,이현정,0년0개월,0년0개월,1,513,,,,
피델리티자산운용,안종현,5년6개월,5년6개월,50,2863705,,,,
하나대체투자자산운용,김성득,1년5개월,1년5개월,1,4760,,,,
하나대체투자자산운용,김윤호,0년2개월,0년2개월,3,270104,,,,
하나대체투자자산운용,배기환,0년8개월,0년8개월,1,4760,,,,
하나대체투자자산운용,정해성,4년8개월,4년8개월,1,69000,,,,
하나대체투자자산운용,허재성,1년5개월,1년5개월,1,51500,,,,
하나자산운용,LIN RONGGEN,3년2개월,3년2개월,19,110481,,,,
하나자산운용,강양구,0년6개월,0년6개월,5,2816,,,,
하나자산운용,고영철,6년0개월,1년3개월,25,2667502,,,,
하나자산운용,권민정,5년2개월,5년2개월,4,973304,,,,
하나자산운용,김상율,7년7개월,7년7개월,34,2207307,,,,
하나자산운용,김정표,12년11개월,12년11개월,3,158782,,,,
하나자산운용,김준래,13년0개월,13년0개월,37,521533,,,,
하나자산운용,김태수,16년3개월,9년11개월,13,161454,,,,
하나자산운용,문예지,3년9개월,0년6개월,12,84659,,,,
하나자산운용,문희주,0년6개월,0년6개월,4,178051,,,,
하나자산운용,박문수,4년0개월,3년3개월,9,187549,,,,
하나자산운용,박수범,10년11개월,3년8개월,6,15195,,,,
하나자산운용,박정엽,5년7개월,0년6개월,10,50044,,,,
하나자산운용,배성영,4년7개월,0년1개월,9,29827,,,,
하나자산운용,안기홍,2년7개월,1년4개월,8,11149165,,,,
하나자산운용,양승후,13년3개월,0년9개월,2,387126,,,,
하나자산운용,어대영,0년10개월,0년10개월,3,283091,,,,
하나자산운용,염보선,4년3개월,0년10개월,9,160380,,,,
하나자산운용,유경환,1년3개월,1년3개월,22,547440,,,,
하나자산운용,이광현,3년1개월,0년10개월,7,1712044,,,,
하나자산운용,이다은,1년6개월,1년6개월,28,419496,,,,
하나자산운용,이왕섭,7년6개월,7년6개월,22,193033,,,,
하나자산운용,장수현,3년3개월,0년1개월,5,14060,,,,
하나자산운용,전나영,19년2개월,19년2개월,17,11978976,,,,
하나자산운용,정재민,3년1개월,3년1개월,42,3162258,,,,
하나자산운용,조은지,4년11개월,3년2개월,12,246536,,,,
하나자산운용,하상용,12년9개월,11년5개월,2,377792,,,,
하나자산운용,황은미,2년1개월,0년4개월,9,80506,,,,
한국투자리얼에셋운용,김용환,9년2개월,9년2개월,5,432063,,,,
한국투자리얼에셋운용,남기문,6년11개월,6년11개월,1,54765,,,,
한국투자리얼에셋운용,장도익,6년9개월,6년9개월,2,176937,,,,
한국투자밸류자산운용,국대운,14년2개월,14년2개월,7,261096,,,,
한국투자밸류자산운용,김영채,0년7개월,0년7개월,3,103410,,,,
한국투자밸류자산운용,김운실,10년5개월,10년5개월,8,755962,,,,
한국투자밸류자산운용,김은형,17년1개월,17년1개월,4,705282,,,,
한국투자밸류자산운용,박범지,3년0개월,3년0개월,5,94004,,,,
한국투자밸류자산운용,박상민,4년11개월,3년0개월,7,99442,,,,
한국투자밸류자산운용,박종한,3년6개월,3년6개월,5,144893,,,,
한국투자밸류자산운용,윤정환,8년8개월,8년8개월,4,252679,,,,
한국투자밸류자산운용,이승혁,19년4개월,19년4개월,3,327845,,,,
한국투자밸류자산운용,이요한,2년0개월,2년0개월,4,159721,,,,
한국투자밸류자산운용,임경민,1년7개월,1년7개월,4,423972,,,,
한국투자밸류자산운용,정신욱,17년3개월,17년3개월,7,249572,,,,
현대자산운용,RIM CHAI BUM,6년5개월,6년5개월,1,52600,,,,
현대자산운용,김유림,2년1개월,2년1개월,8,2385438,,,,
현대자산운용,민영기,15년9개월,1년0개월,7,99813,,,,
현대자산운용,신세인,0년1개월,0년1개월,4,25210,,,,
현대자산운용,유성식,3년8개월,3년8개월,2,3066,,,,
현대자산운용,이동근,7년4개월,7년4개월,2,14460,,,,
현대자산운용,이동현,4년8개월,0년1개월,1,24446,,,,
현대자산운용,이우주,7년0개월,0년3개월,1,2287029,,,,
현대자산운용,조상현,12년0개월,2년1개월,6,25703,,,,
현대자산운용,최일문,4년7개월,4년7개월,2,5723,,,,
흥국자산운용,강상석,1년1개월,1년1개월,4,57994,,,,
흥국자산운용,박민경,12년11개월,0년6개월,3,42926,,,,
흥국자산운용,박석,4년2개월,2년5개월,3,27782,,,,
흥국자산운용,박성인,8년4개월,8년4개월,3,2832051,,,,
흥국자산운용,박형태,11년6개월,11년6개월,14,1883219,,,,
흥국자산운용,서덕유,4년6개월,4년6개월,2,2791851,,,,
흥국자산운용,서민식,2년5개월,2년5개월,5,1647647,,,,
흥국자산운용,안준교,0년5개월,0년5개월,1,125884,,,,
흥국자산운용,오정근,3년5개월,3년5개월,6,3978264,,,,
흥국자산운용,이성규,9년3개월,0년9개월,14,88418,,,,
흥국자산운용,이용준,2년0개월,2년0개월,11,60635,,,,
흥국자산운용,조재현,7년10개월,5년9개월,6,86294,,,,
흥국자산운용,조정남,9년11개월,7년11개월,4,362613,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
899,,,,,,,,,
